county_fips,county_name,state_abbr,measure_code,year,data_value_type,value,low,high,is_sample
40061,Haskell,OK,OBESITY,2023,Crude prevalence,42.2,33.8,51,false
40061,Haskell,OK,DIABETES,2023,Crude prevalence,15.4,13.2,17.6,false
40061,Haskell,OK,LPA,2023,Crude prevalence,36.3,30.4,41.9,false
40061,Haskell,OK,MHLTH,2023,Crude prevalence,18.8,16.6,21.2,false
40061,Haskell,OK,BPHIGH,2023,Crude prevalence,44.1,39.7,48.6,false
40061,Haskell,OK,CSMOKING,2023,Crude prevalence,20.7,17.4,24.1,false
40061,Haskell,OK,DEPRESSION,2023,Crude prevalence,25.4,21.7,29.5,false
40061,Haskell,OK,ACCESS2,2023,Crude prevalence,11.6,9.3,14.1,false
17097,Lake,IL,OBESITY,2023,Crude prevalence,32.9,27.3,38.7,false
17097,Lake,IL,DIABETES,2023,Crude prevalence,11.2,9.4,13.1,false
17097,Lake,IL,LPA,2023,Crude prevalence,19.9,16.1,24.2,false
17097,Lake,IL,MHLTH,2023,Crude prevalence,14.1,12,16.4,false
17097,Lake,IL,BPHIGH,2023,Crude prevalence,32.4,28.6,36.3,false
17097,Lake,IL,CSMOKING,2023,Crude prevalence,10.4,8,13,false
17097,Lake,IL,DEPRESSION,2023,Crude prevalence,18.1,15.1,21.4,false
17097,Lake,IL,ACCESS2,2023,Crude prevalence,9.2,7.2,11.5,false
20005,Atchison,KS,OBESITY,2023,Crude prevalence,37,29.7,44.6,false
20005,Atchison,KS,DIABETES,2023,Crude prevalence,11.2,9.5,12.9,false
20005,Atchison,KS,LPA,2023,Crude prevalence,27.7,22.5,32.8,false
20005,Atchison,KS,MHLTH,2023,Crude prevalence,17.8,15.3,20.3,false
20005,Atchison,KS,BPHIGH,2023,Crude prevalence,34.8,30.9,38.7,false
20005,Atchison,KS,CSMOKING,2023,Crude prevalence,15.3,12.4,18.1,false
20005,Atchison,KS,DEPRESSION,2023,Crude prevalence,21.7,18.4,25.2,false
20005,Atchison,KS,ACCESS2,2023,Crude prevalence,8.8,6.9,11.1,false
02020,Anchorage,AK,OBESITY,2023,Crude prevalence,35,31.1,39,false
02020,Anchorage,AK,DIABETES,2023,Crude prevalence,8.9,7.7,10.1,false
02020,Anchorage,AK,LPA,2023,Crude prevalence,19.8,16.9,22.8,false
02020,Anchorage,AK,MHLTH,2023,Crude prevalence,16.1,14.3,18,false
02020,Anchorage,AK,BPHIGH,2023,Crude prevalence,31.5,28.9,34.1,false
02020,Anchorage,AK,CSMOKING,2023,Crude prevalence,14,11.8,16.6,false
02020,Anchorage,AK,DEPRESSION,2023,Crude prevalence,21.3,18.9,24,false
02020,Anchorage,AK,ACCESS2,2023,Crude prevalence,9.5,7.7,11.4,false
40133,Seminole,OK,OBESITY,2023,Crude prevalence,45,37.1,53,false
40133,Seminole,OK,DIABETES,2023,Crude prevalence,16.1,14,18.4,false
40133,Seminole,OK,LPA,2023,Crude prevalence,37.9,32.3,43.6,false
40133,Seminole,OK,MHLTH,2023,Crude prevalence,20.3,18,22.9,false
40133,Seminole,OK,BPHIGH,2023,Crude prevalence,44.4,40.1,48.7,false
40133,Seminole,OK,CSMOKING,2023,Crude prevalence,22.5,19.2,26.1,false
40133,Seminole,OK,DEPRESSION,2023,Crude prevalence,27.6,23.8,31.8,false
40133,Seminole,OK,ACCESS2,2023,Crude prevalence,12.3,10.1,14.9,false
54057,Mineral,WV,OBESITY,2023,Crude prevalence,39.3,31.6,47.6,false
54057,Mineral,WV,DIABETES,2023,Crude prevalence,15.2,13,17.6,false
54057,Mineral,WV,LPA,2023,Crude prevalence,30.9,25.4,36.8,false
54057,Mineral,WV,MHLTH,2023,Crude prevalence,19.7,17,22.5,false
54057,Mineral,WV,BPHIGH,2023,Crude prevalence,43,38.5,47.7,false
54057,Mineral,WV,CSMOKING,2023,Crude prevalence,17.5,14.2,21.1,false
54057,Mineral,WV,DEPRESSION,2023,Crude prevalence,30.4,26.2,34.9,false
54057,Mineral,WV,ACCESS2,2023,Crude prevalence,7.4,5.6,9.7,false
27013,Blue Earth,MN,OBESITY,2023,Crude prevalence,33.8,28,39.4,false
27013,Blue Earth,MN,DIABETES,2023,Crude prevalence,9.4,8,10.7,false
27013,Blue Earth,MN,LPA,2023,Crude prevalence,23,19,27.3,false
27013,Blue Earth,MN,MHLTH,2023,Crude prevalence,17.6,15.1,20.1,false
27013,Blue Earth,MN,BPHIGH,2023,Crude prevalence,28.9,25.8,32.1,false
27013,Blue Earth,MN,CSMOKING,2023,Crude prevalence,13.5,10.9,16.4,false
27013,Blue Earth,MN,DEPRESSION,2023,Crude prevalence,26.6,23,30.1,false
27013,Blue Earth,MN,ACCESS2,2023,Crude prevalence,7.9,6.1,10.3,false
31019,Buffalo,NE,OBESITY,2023,Crude prevalence,37.3,32,43,false
31019,Buffalo,NE,DIABETES,2023,Crude prevalence,9.6,8.2,11.1,false
31019,Buffalo,NE,LPA,2023,Crude prevalence,23.7,19.3,28,false
31019,Buffalo,NE,MHLTH,2023,Crude prevalence,14.7,12.7,16.9,false
31019,Buffalo,NE,BPHIGH,2023,Crude prevalence,32,28.9,35.5,false
31019,Buffalo,NE,CSMOKING,2023,Crude prevalence,12.2,9.6,15,false
31019,Buffalo,NE,DEPRESSION,2023,Crude prevalence,18.1,15.4,21,false
31019,Buffalo,NE,ACCESS2,2023,Crude prevalence,9.2,7.2,11.6,false
51003,Albemarle,VA,OBESITY,2023,Crude prevalence,28.2,22.7,34.4,false
51003,Albemarle,VA,DIABETES,2023,Crude prevalence,10.2,8.7,11.9,false
51003,Albemarle,VA,LPA,2023,Crude prevalence,19.4,15.7,23.8,false
51003,Albemarle,VA,MHLTH,2023,Crude prevalence,14.3,12.3,16.5,false
51003,Albemarle,VA,BPHIGH,2023,Crude prevalence,32.2,28.5,36,false
51003,Albemarle,VA,CSMOKING,2023,Crude prevalence,9,6.8,11.3,false
51003,Albemarle,VA,DEPRESSION,2023,Crude prevalence,20.9,17.9,24.3,false
51003,Albemarle,VA,ACCESS2,2023,Crude prevalence,6.4,4.9,8.5,false
48211,Hemphill,TX,OBESITY,2023,Crude prevalence,32.7,24.5,41.4,false
48211,Hemphill,TX,DIABETES,2023,Crude prevalence,11.6,10,13.5,false
48211,Hemphill,TX,LPA,2023,Crude prevalence,25.5,20.9,30.7,false
48211,Hemphill,TX,MHLTH,2023,Crude prevalence,15.9,13.9,18,false
48211,Hemphill,TX,BPHIGH,2023,Crude prevalence,34.1,29.9,38.3,false
48211,Hemphill,TX,CSMOKING,2023,Crude prevalence,11.7,9.5,14.2,false
48211,Hemphill,TX,DEPRESSION,2023,Crude prevalence,21.5,18.2,25.1,false
48211,Hemphill,TX,ACCESS2,2023,Crude prevalence,16.4,13.4,20,false
29205,Shelby,MO,OBESITY,2023,Crude prevalence,40.3,32.1,49,false
29205,Shelby,MO,DIABETES,2023,Crude prevalence,14.9,12.8,17.3,false
29205,Shelby,MO,LPA,2023,Crude prevalence,34.9,28.9,41.1,false
29205,Shelby,MO,MHLTH,2023,Crude prevalence,18.4,16,21,false
29205,Shelby,MO,BPHIGH,2023,Crude prevalence,42.6,38.1,47.1,false
29205,Shelby,MO,CSMOKING,2023,Crude prevalence,20.5,16.7,24.6,false
29205,Shelby,MO,DEPRESSION,2023,Crude prevalence,25.2,21.6,29.3,false
29205,Shelby,MO,ACCESS2,2023,Crude prevalence,10,7.7,12.6,false
29033,Carroll,MO,OBESITY,2023,Crude prevalence,38.6,30.5,47,false
29033,Carroll,MO,DIABETES,2023,Crude prevalence,13.9,11.8,16,false
29033,Carroll,MO,LPA,2023,Crude prevalence,33.7,27.9,39.8,false
29033,Carroll,MO,MHLTH,2023,Crude prevalence,17.7,15.4,20.2,false
29033,Carroll,MO,BPHIGH,2023,Crude prevalence,39.9,35.5,44.4,false
29033,Carroll,MO,CSMOKING,2023,Crude prevalence,18.3,14.6,21.9,false
29033,Carroll,MO,DEPRESSION,2023,Crude prevalence,24.9,21.2,28.8,false
29033,Carroll,MO,ACCESS2,2023,Crude prevalence,9.3,7,11.7,false
47045,Dyer,TN,OBESITY,2023,Crude prevalence,39.4,31.7,47.7,false
47045,Dyer,TN,DIABETES,2023,Crude prevalence,14.9,12.8,17,false
47045,Dyer,TN,LPA,2023,Crude prevalence,30.5,25.3,35.9,false
47045,Dyer,TN,MHLTH,2023,Crude prevalence,20.7,18.1,23.4,false
47045,Dyer,TN,BPHIGH,2023,Crude prevalence,42.6,38.2,47.1,false
47045,Dyer,TN,CSMOKING,2023,Crude prevalence,20.1,16.4,23.8,false
47045,Dyer,TN,DEPRESSION,2023,Crude prevalence,30.8,26.5,35.1,false
47045,Dyer,TN,ACCESS2,2023,Crude prevalence,12.5,10,15.5,false
46099,Minnehaha,SD,OBESITY,2023,Crude prevalence,37.4,32.6,42.4,false
46099,Minnehaha,SD,DIABETES,2023,Crude prevalence,10.6,9.2,12.2,false
46099,Minnehaha,SD,LPA,2023,Crude prevalence,23.3,19.7,27.3,false
46099,Minnehaha,SD,MHLTH,2023,Crude prevalence,15.7,13.5,17.9,false
46099,Minnehaha,SD,BPHIGH,2023,Crude prevalence,31.7,28.6,34.7,false
46099,Minnehaha,SD,CSMOKING,2023,Crude prevalence,14.2,11.2,17.1,false
46099,Minnehaha,SD,DEPRESSION,2023,Crude prevalence,22.3,19.4,25.5,false
46099,Minnehaha,SD,ACCESS2,2023,Crude prevalence,8.8,6.7,11.1,false
19037,Chickasaw,IA,OBESITY,2023,Crude prevalence,39.4,32.1,47.2,false
19037,Chickasaw,IA,DIABETES,2023,Crude prevalence,12.6,10.8,14.7,false
19037,Chickasaw,IA,LPA,2023,Crude prevalence,27.5,22.7,32.8,false
19037,Chickasaw,IA,MHLTH,2023,Crude prevalence,15.6,13.6,17.8,false
19037,Chickasaw,IA,BPHIGH,2023,Crude prevalence,38.6,34.5,43,false
19037,Chickasaw,IA,CSMOKING,2023,Crude prevalence,15.5,12.5,18.7,false
19037,Chickasaw,IA,DEPRESSION,2023,Crude prevalence,19,16.2,22.3,false
19037,Chickasaw,IA,ACCESS2,2023,Crude prevalence,7.7,5.9,9.8,false
36099,Seneca,NY,OBESITY,2023,Crude prevalence,34.7,25.6,44,false
36099,Seneca,NY,DIABETES,2023,Crude prevalence,11.6,9.5,13.6,false
36099,Seneca,NY,LPA,2023,Crude prevalence,28.4,22.3,34.2,false
36099,Seneca,NY,MHLTH,2023,Crude prevalence,16.8,14.3,19.2,false
36099,Seneca,NY,BPHIGH,2023,Crude prevalence,36.4,31.3,41.2,false
36099,Seneca,NY,CSMOKING,2023,Crude prevalence,15.3,11.9,18.5,false
36099,Seneca,NY,DEPRESSION,2023,Crude prevalence,21.2,17.2,25,false
36099,Seneca,NY,ACCESS2,2023,Crude prevalence,7.2,5.3,9.3,false
27043,Faribault,MN,OBESITY,2023,Crude prevalence,37.6,30,45.1,false
